id,title,category,amount,date,isEssential,note
19,Dental Scaling & Oral Checkup,Health,1681.24,2025-01-05,true,Bi-annual preventive dental cleaning and exam (Recorded on 2025-01-05)
20,Board Game Pub & Cafe,Fun,957.02,2025-01-05,false,Strategy game night craft beers and nacho platters (Recorded on 2025-01-05)
21,Uniqlo Airism Essentials,Shopping,2876.99,2025-01-06,true,Innerwear; cooling undershirts and crew socks (Recorded on 2025-01-06)
22,Nike Marathon Running Shoes,Shopping,8034.64,2025-01-06,false,Long distance training air zoom cushion sneakers (Recorded on 2025-01-06)
23,Board Game Pub & Cafe,Fun,1022.93,2025-01-07,false,Strategy game night craft beers and nacho platters (Recorded on 2025-01-07)
24,Supermarket Staples,Food,5787.21,2025-01-07,true,Monthly pulses; basmati grains; spices and olive oil (Recorded on 2025-01-07)
25,Diagnostic Comprehensive Blood Panel,Health,2815.80,2025-01-07,true,Full body health checkup; liver and lipid profile (Recorded on 2025-01-07)
26,Concert Live Music Festival,Fun,7881.84,2025-01-07,false,Weekend rock concert arena general admission pass (Recorded on 2025-01-07)
27,Dental Scaling & Oral Checkup,Health,2052.07,2025-01-07,true,Bi-annual preventive dental cleaning and exam (Recorded on 2025-01-07)
28,Language Mastery Application,Learn,2141.87,2025-01-07,false,Annual conversational language learning subscription (Recorded on 2025-01-07)
29,Board Game Pub & Cafe,Fun,1295.57,2025-01-08,false,Strategy game night craft beers and nacho platters (Recorded on 2025-01-08)
30,LPG Cooking Gas Cylinder Refill,Bills,908.46,2025-01-08,true,Indane domestic LPG home delivery (Recorded on 2025-01-08)
31,Coursera AI Specialization,Learn,4218.32,2025-01-08,true,Machine learning and deep neural networks lab (Recorded on 2025-01-08)
32,Dry Cleaning & Garment Care,Other,1506.94,2025-01-09,true,Winter wool coats; formal suits and blazers clean (Recorded on 2025-01-09)
33,Shell Petrol Station Fuel,Transport,3943.13,2025-01-09,true,Full tank unleaded petrol for vehicle (Recorded on 2025-01-09)
34,Tech Conference Full Pass,Learn,4817.64,2025-01-09,true,Annual developer engineering summit registration (Recorded on 2025-01-09)
35,Friend Wedding / Birthday Gift,Other,3757.07,2025-01-10,false,Custom engraved stainless steel wristwatch with box (Recorded on 2025-01-10)
36,Whole Foods Grocery,Food,3449.64,2025-01-10,true,Weekly fresh vegetables; organic fruits and dairy (Recorded on 2025-01-10)
37,iCloud / Google Cloud Storage,Bills,650.00,2025-01-10,true,2TB unified encrypted cloud backup subscription (Recorded on 2025-01-10)
38,Apollo Pharmacy Prescription,Health,846.23,2025-01-10,true,Prescription medication; vitamin D3 & omega-3 (Recorded on 2025-01-10)
39,Nike Marathon Running Shoes,Shopping,5024.96,2025-01-10,false,Long distance training air zoom cushion sneakers (Recorded on 2025-01-10)
40,Uniqlo Airism Essentials,Shopping,3299.04,2025-01-11,true,Innerwear; cooling undershirts and crew socks (Recorded on 2025-01-11)
41,iCloud / Google Cloud Storage,Bills,650.00,2025-01-11,true,2TB unified encrypted cloud backup subscription (Recorded on 2025-01-11)
42,Netflix 4K UltraHD Subscription,Fun,649.00,2025-01-11,false,Monthly family tier streaming account (Recorded on 2025-01-11)
43,Dental Scaling & Oral Checkup,Health,1901.19,2025-01-11,true,Bi-annual preventive dental cleaning and exam (Recorded on 2025-01-11)
44,Bakery Artisanal Bread & Pastry,Food,283.73,2025-01-12,true,Morning bakery supplies and sourdough loaf (Recorded on 2025-01-12)
45,Whole Foods Grocery,Food,4266.03,2025-01-12,true,Weekly fresh vegetables; organic fruits and dairy (Recorded on 2025-01-12)
46,Airtel 5G Fiber Broadband,Bills,1027.96,2025-01-12,true,1 Gbps symmetrical unlimited high-speed fiber plan (Recorded on 2025-01-12)
47,Metro Smart Card Recharge,Transport,865.95,2025-01-12,true,Monthly unlimited metro transit card recharge (Recorded on 2025-01-12)
48,Shell Petrol Station Fuel,Transport,2795.30,2025-01-12,true,Full tank unleaded petrol for vehicle (Recorded on 2025-01-12)
49,Friend Wedding / Birthday Gift,Other,3325.63,2025-01-12,false,Custom engraved stainless steel wristwatch with box (Recorded on 2025-01-12)
50,Udemy Masterclass Bootcamp,Learn,1442.13,2025-01-13,true,Full-stack distributed cloud architecture video course (Recorded on 2025-01-13)
51,Board Game Pub & Cafe,Fun,1008.47,2025-01-13,false,Strategy game night craft beers and nacho platters (Recorded on 2025-01-13)
52,Diagnostic Comprehensive Blood Panel,Health,4269.11,2025-01-13,true,Full body health checkup; liver and lipid profile (Recorded on 2025-01-13)
53,Dry Cleaning & Garment Care,Other,897.49,2025-01-13,true,Winter wool coats; formal suits and blazers clean (Recorded on 2025-01-13)
54,City Mall Parking Fee,Transport,104.21,2025-01-13,false,Multi-level basement underground parking validation (Recorded on 2025-01-13)
55,Concert Live Music Festival,Fun,4601.09,2025-01-13,false,Weekend rock concert arena general admission pass (Recorded on 2025-01-13)
56,Supermarket Staples,Food,2769.60,2025-01-14,true,Monthly pulses; basmati grains; spices and olive oil (Recorded on 2025-01-14)
57,Local Fruit Stall,Food,228.34,2025-01-14,true,Fresh seasonal Alphonso mangoes and apples (Recorded on 2025-01-14)
58,LPG Cooking Gas Cylinder Refill,Bills,898.54,2025-01-15,true,Indane domestic LPG home delivery (Recorded on 2025-01-15)
59,Apple Store MagSafe Battery,Shopping,10771.03,2025-01-15,false,Official magnetic fast wireless battery pack (Recorded on 2025-01-15)
60,Deep Home Sanitization Service,Other,4069.24,2025-01-15,true,Quarterly professional deep house cleaning and scrub (Recorded on 2025-01-15)
61,PVR IMAX 3D Recliner Tickets,Fun,935.70,2025-01-16,false,Sci-fi movie premiere with large cheese popcorn (Recorded on 2025-01-16)
62,Coursera AI Specialization,Learn,4422.58,2025-01-16,true,Machine learning and deep neural networks lab (Recorded on 2025-01-16)
63,Dry Cleaning & Garment Care,Other,1408.04,2025-01-16,true,Winter wool coats; formal suits and blazers clean (Recorded on 2025-01-16)
64,Uber Premier Commute,Transport,832.49,2025-01-16,false,Airport ride terminal 2 business flight (Recorded on 2025-01-16)
65,Apollo Pharmacy Prescription,Health,785.69,2025-01-16,true,Prescription medication; vitamin D3 & omega-3 (Recorded on 2025-01-16)
66,Deep Home Sanitization Service,Other,3343.76,2025-01-17,true,Quarterly professional deep house cleaning and scrub (Recorded on 2025-01-17)
67,Municipal Water Authority,Bills,474.90,2025-01-17,true,Quarterly residential piped water supply charges (Recorded on 2025-01-17)
68,IRCTC Executive Train Ticket,Transport,2121.63,2025-01-17,true,Intercity executive AC chair car reservation (Recorded on 2025-01-17)
69,Uber Premier Commute,Transport,1069.54,2025-01-18,false,Airport ride terminal 2 business flight (Recorded on 2025-01-18)
70,Whole Foods Grocery,Food,4257.01,2025-01-18,true,Weekly fresh vegetables; organic fruits and dairy (Recorded on 2025-01-18)
71,Netflix 4K UltraHD Subscription,Fun,649.00,2025-01-18,false,Monthly family tier streaming account (Recorded on 2025-01-18)
72,Language Mastery Application,Learn,2480.36,2025-01-18,false,Annual conversational language learning subscription (Recorded on 2025-01-18)
73,Kindle Technical E-Books,Learn,573.48,2025-01-18,true,Software engineering architecture & financial books (Recorded on 2025-01-18)
74,Blinkit Quick Delivery,Food,194.26,2025-01-18,false,Midnight craving snacks; chocolate and ice cream (Recorded on 2025-01-18)
75,Municipal Water Authority,Bills,698.30,2025-01-19,true,Quarterly residential piped water supply charges (Recorded on 2025-01-19)
76,Deep Home Sanitization Service,Other,2879.80,2025-01-19,true,Quarterly professional deep house cleaning and scrub (Recorded on 2025-01-19)
77,PVR IMAX 3D Recliner Tickets,Fun,1610.85,2025-01-19,false,Sci-fi movie premiere with large cheese popcorn (Recorded on 2025-01-19)
78,Local Fruit Stall,Food,222.87,2025-01-19,true,Fresh seasonal Alphonso mangoes and apples (Recorded on 2025-01-19)
79,Friend Wedding / Birthday Gift,Other,7096.94,2025-01-19,false,Custom engraved stainless steel wristwatch with box (Recorded on 2025-01-19)
80,Amazon Tech Essentials,Shopping,3109.75,2025-01-20,true,USB-C multi-port hub; braided cables & adapter (Recorded on 2025-01-20)
81,Shell Petrol Station Fuel,Transport,2657.60,2025-01-20,true,Full tank unleaded petrol for vehicle (Recorded on 2025-01-20)
82,Auto Rickshaw Meter Fare,Transport,108.45,2025-01-20,true,Local city transit to metro station (Recorded on 2025-01-20)
83,Concert Live Music Festival,Fun,6472.60,2025-01-20,false,Weekend rock concert arena general admission pass (Recorded on 2025-01-20)
84,Automobile Ceramic Detailing,Transport,2711.96,2025-01-20,false,Full interior vacuum; engine degrease and wash (Recorded on 2025-01-20)
85,Cult.fit Fitness Gym Pass,Health,5521.30,2025-01-20,true,Quarterly fitness center gym and yoga pass (Recorded on 2025-01-20)
86,PlayStation Store RPG Purchase,Fun,3790.57,2025-01-21,false,Digital deluxe collector edition open world game (Recorded on 2025-01-21)
87,Municipal Water Authority,Bills,508.09,2025-01-21,true,Quarterly residential piped water supply charges (Recorded on 2025-01-21)
88,Uber Premier Commute,Transport,885.37,2025-01-21,false,Airport ride terminal 2 business flight (Recorded on 2025-01-21)
89,Metro Smart Card Recharge,Transport,768.82,2025-01-21,true,Monthly unlimited metro transit card recharge (Recorded on 2025-01-21)
90,Airtel 5G Fiber Broadband,Bills,1465.63,2025-01-22,true,1 Gbps symmetrical unlimited high-speed fiber plan (Recorded on 2025-01-22)
91,Auto Rickshaw Meter Fare,Transport,104.34,2025-01-22,true,Local city transit to metro station (Recorded on 2025-01-22)
92,Nike Marathon Running Shoes,Shopping,11668.96,2025-01-22,false,Long distance training air zoom cushion sneakers (Recorded on 2025-01-22)
93,Society Apartment Maintenance,Bills,5462.86,2025-01-22,true,Monthly housing security; backup generator & lift fee (Recorded on 2025-01-22)
94,Chai & Samosa Corner,Food,72.93,2025-01-22,true,Evening masala tea with team members (Recorded on 2025-01-22)
95,Shell Petrol Station Fuel,Transport,3108.27,2025-01-22,true,Full tank unleaded petrol for vehicle (Recorded on 2025-01-22)
96,IKEA Modular Desk Organizers,Shopping,3189.82,2025-01-23,false,Desk cable management units; drawer trays & LED (Recorded on 2025-01-23)
97,Board Game Pub & Cafe,Fun,1044.31,2025-01-23,false,Strategy game night craft beers and nacho platters (Recorded on 2025-01-23)
98,Express International Courier,Other,1119.54,2025-01-24,true,Expedited legal document international courier parcel (Recorded on 2025-01-24)
99,Whole Foods Grocery,Food,3293.14,2025-01-24,true,Weekly fresh vegetables; organic fruits and dairy (Recorded on 2025-01-24)
100,Electricity Power Utility,Bills,1412.06,2025-01-24,true,Monthly household air conditioning electricity bill (Recorded on 2025-01-24)
101,Apple Store MagSafe Battery,Shopping,10859.60,2025-01-24,false,Official magnetic fast wireless battery pack (Recorded on 2025-01-24)
102,Friend Wedding / Birthday Gift,Other,6028.34,2025-01-25,false,Custom engraved stainless steel wristwatch with box (Recorded on 2025-01-25)
103,Whole Foods Grocery,Food,1448.30,2025-01-25,true,Weekly fresh vegetables; organic fruits and dairy (Recorded on 2025-01-25)
104,Uniqlo Airism Essentials,Shopping,1282.86,2025-01-25,true,Innerwear; cooling undershirts and crew socks (Recorded on 2025-01-25)
105,Nike Marathon Running Shoes,Shopping,6018.56,2025-01-26,false,Long distance training air zoom cushion sneakers (Recorded on 2025-01-26)
106,Mobile 5G Postpaid Plan,Bills,1248.49,2025-01-26,true,Unlimited 5G corporate postpaid phone plan (Recorded on 2025-01-26)
107,Local Fruit Stall,Food,284.03,2025-01-26,true,Fresh seasonal Alphonso mangoes and apples (Recorded on 2025-01-26)
108,Board Game Pub & Cafe,Fun,768.21,2025-01-26,false,Strategy game night craft beers and nacho platters (Recorded on 2025-01-26)
109,Tech Conference Full Pass,Learn,8247.39,2025-01-27,true,Annual developer engineering summit registration (Recorded on 2025-01-27)
110,Spotify Premium Family Plan,Fun,1799.00,2025-01-27,false,Annual ad-free multi-user music streaming (Recorded on 2025-01-27)
111,Neighborhood Hardware Store,Shopping,1039.16,2025-01-27,true,Stainless screws; drywall anchors; drill accessories (Recorded on 2025-01-27)
112,Kindle Technical E-Books,Learn,584.52,2025-01-27,true,Software engineering architecture & financial books (Recorded on 2025-01-27)
113,Diagnostic Comprehensive Blood Panel,Health,4045.14,2025-01-27,true,Full body health checkup; liver and lipid profile (Recorded on 2025-01-27)
114,PlayStation Store RPG Purchase,Fun,3317.40,2025-01-27,false,Digital deluxe collector edition open world game (Recorded on 2025-01-27)
115,Kindle Technical E-Books,Learn,1093.94,2025-01-28,true,Software engineering architecture & financial books (Recorded on 2025-01-28)
116,Netflix 4K UltraHD Subscription,Fun,649.00,2025-01-28,false,Monthly family tier streaming account (Recorded on 2025-01-28)
117,Cult.fit Fitness Gym Pass,Health,8602.68,2025-01-29,true,Quarterly fitness center gym and yoga pass (Recorded on 2025-01-29)
118,Netflix 4K UltraHD Subscription,Fun,649.00,2025-01-29,false,Monthly family tier streaming account (Recorded on 2025-01-29)
119,Supermarket Staples,Food,4093.86,2025-01-29,true,Monthly pulses; basmati grains; spices and olive oil (Recorded on 2025-01-29)
120,iCloud / Google Cloud Storage,Bills,650.00,2025-01-29,true,2TB unified encrypted cloud backup subscription (Recorded on 2025-01-29)
121,Expressway FASTag Toll,Transport,410.69,2025-01-29,true,State expressway toll automated electronic debit (Recorded on 2025-01-29)
122,Tech Conference Full Pass,Learn,6155.75,2025-01-30,true,Annual developer engineering summit registration (Recorded on 2025-01-30)
123,Whole Foods Grocery,Food,4094.23,2025-01-30,true,Weekly fresh vegetables; organic fruits and dairy (Recorded on 2025-01-30)
124,Airtel 5G Fiber Broadband,Bills,1289.29,2025-01-30,true,1 Gbps symmetrical unlimited high-speed fiber plan (Recorded on 2025-01-30)
125,Electricity Power Utility,Bills,1768.57,2025-01-30,true,Monthly household air conditioning electricity bill (Recorded on 2025-01-30)
126,Coursera AI Specialization,Learn,4727.55,2025-01-30,true,Machine learning and deep neural networks lab (Recorded on 2025-01-30)
127,Diagnostic Comprehensive Blood Panel,Health,3594.28,2025-01-30,true,Full body health checkup; liver and lipid profile (Recorded on 2025-01-30)
128,Automobile Ceramic Detailing,Transport,3268.86,2025-01-31,false,Full interior vacuum; engine degrease and wash (Recorded on 2025-01-31)
129,PlayStation Store RPG Purchase,Fun,3087.77,2025-01-31,false,Digital deluxe collector edition open world game (Recorded on 2025-01-31)
130,Kindle Technical E-Books,Learn,839.94,2025-01-31,true,Software engineering architecture & financial books (Recorded on 2025-01-31)
131,PlayStation Store RPG Purchase,Fun,3861.59,2025-01-31,false,Digital deluxe collector edition open world game (Recorded on 2025-01-31)
132,Physiotherapy Posture Rehab,Health,1019.74,2025-01-31,true,Spine and cervical posture rehab therapy session (Recorded on 2025-01-31)
133,Expressway FASTag Toll,Transport,504.27,2025-01-31,true,State expressway toll automated electronic debit (Recorded on 2025-01-31)
134,Diagnostic Comprehensive Blood Panel,Health,3803.58,2025-02-01,true,Full body health checkup; liver and lipid profile (Recorded on 2025-02-01)
135,Zara Linen Summer Collection,Shopping,3845.65,2025-02-01,false,Breathable cotton casual button-up shirts (Recorded on 2025-02-01)
136,Udemy Masterclass Bootcamp,Learn,1191.41,2025-02-01,true,Full-stack distributed cloud architecture video course (Recorded on 2025-02-01)
137,Municipal Water Authority,Bills,623.97,2025-02-01,true,Quarterly residential piped water supply charges (Recorded on 2025-02-01)
138,Zomato Weekend Dinner,Food,1259.06,2025-02-01,false,Family gourmet pizza and pasta treat (Recorded on 2025-02-01)
139,Diagnostic Comprehensive Blood Panel,Health,3216.11,2025-02-02,true,Full body health checkup; liver and lipid profile (Recorded on 2025-02-02)
140,Concert Live Music Festival,Fun,5865.93,2025-02-02,false,Weekend rock concert arena general admission pass (Recorded on 2025-02-02)
141,Apple Store MagSafe Battery,Shopping,9069.59,2025-02-02,false,Official magnetic fast wireless battery pack (Recorded on 2025-02-02)
142,Apollo Pharmacy Prescription,Health,1554.87,2025-02-02,true,Prescription medication; vitamin D3 & omega-3 (Recorded on 2025-02-02)
143,Board Game Pub & Cafe,Fun,1006.98,2025-02-02,false,Strategy game night craft beers and nacho platters (Recorded on 2025-02-02)
144,Amazon Tech Essentials,Shopping,1005.34,2025-02-03,true,USB-C multi-port hub; braided cables & adapter (Recorded on 2025-02-03)
145,Friend Wedding / Birthday Gift,Other,6748.69,2025-02-03,false,Custom engraved stainless steel wristwatch with box (Recorded on 2025-02-03)
146,IRCTC Executive Train Ticket,Transport,1550.94,2025-02-03,true,Intercity executive AC chair car reservation (Recorded on 2025-02-03)
147,Board Game Pub & Cafe,Fun,1450.81,2025-02-04,false,Strategy game night craft beers and nacho platters (Recorded on 2025-02-04)
148,Charity Foundation Contribution,Other,1975.94,2025-02-04,false,Monthly child education and midday meal sponsorship (Recorded on 2025-02-04)
149,Whole Foods Grocery,Food,3768.79,2025-02-04,true,Weekly fresh vegetables; organic fruits and dairy (Recorded on 2025-02-04)
150,Netflix 4K UltraHD Subscription,Fun,649.00,2025-02-04,false,Monthly family tier streaming account (Recorded on 2025-02-04)
151,Dry Cleaning & Garment Care,Other,1268.89,2025-02-04,true,Winter wool coats; formal suits and blazers clean (Recorded on 2025-02-04)
152,IRCTC Executive Train Ticket,Transport,1143.34,2025-02-04,true,Intercity executive AC chair car reservation (Recorded on 2025-02-04)
153,Diagnostic Comprehensive Blood Panel,Health,3609.10,2025-02-05,true,Full body health checkup; liver and lipid profile (Recorded on 2025-02-05)
154,Tech Conference Full Pass,Learn,6729.57,2025-02-05,true,Annual developer engineering summit registration (Recorded on 2025-02-05)
155,Apple Store MagSafe Battery,Shopping,10622.99,2025-02-05,false,Official magnetic fast wireless battery pack (Recorded on 2025-02-05)
156,Express International Courier,Other,989.01,2025-02-05,true,Expedited legal document international courier parcel (Recorded on 2025-02-05)
157,iCloud / Google Cloud Storage,Bills,650.00,2025-02-05,true,2TB unified encrypted cloud backup subscription (Recorded on 2025-02-05)
158,Deep Home Sanitization Service,Other,3049.19,2025-02-06,true,Quarterly professional deep house cleaning and scrub (Recorded on 2025-02-06)
159,Expressway FASTag Toll,Transport,340.70,2025-02-06,true,State expressway toll automated electronic debit (Recorded on 2025-02-06)
160,Cult.fit Fitness Gym Pass,Health,8965.13,2025-02-06,true,Quarterly fitness center gym and yoga pass (Recorded on 2025-02-06)
161,Shell Petrol Station Fuel,Transport,2846.91,2025-02-06,true,Full tank unleaded petrol for vehicle (Recorded on 2025-02-06)
162,Udemy Masterclass Bootcamp,Learn,1264.14,2025-02-06,true,Full-stack distributed cloud architecture video course (Recorded on 2025-02-06)
163,Automobile Ceramic Detailing,Transport,2137.48,2025-02-06,false,Full interior vacuum; engine degrease and wash (Recorded on 2025-02-06)
164,Charity Foundation Contribution,Other,1249.06,2025-02-07,false,Monthly child education and midday meal sponsorship (Recorded on 2025-02-07)
165,Language Mastery Application,Learn,2903.84,2025-02-07,false,Annual conversational language learning subscription (Recorded on 2025-02-07)
166,Bakery Artisanal Bread & Pastry,Food,301.72,2025-02-07,true,Morning bakery supplies and sourdough loaf (Recorded on 2025-02-07)
167,Local Fruit Stall,Food,319.45,2025-02-07,true,Fresh seasonal Alphonso mangoes and apples (Recorded on 2025-02-07)
168,Language Mastery Application,Learn,2537.22,2025-02-07,false,Annual conversational language learning subscription (Recorded on 2025-02-07)
169,Go-Karting Speedway Grand Prix,Fun,1938.84,2025-02-07,false,Weekend competitive racing sessions with group (Recorded on 2025-02-07)
170,Dry Cleaning & Garment Care,Other,1066.63,2025-02-08,true,Winter wool coats; formal suits and blazers clean (Recorded on 2025-02-08)
171,Udemy Masterclass Bootcamp,Learn,1371.40,2025-02-08,true,Full-stack distributed cloud architecture video course (Recorded on 2025-02-08)
172,Uniqlo Airism Essentials,Shopping,2428.48,2025-02-08,true,Innerwear; cooling undershirts and crew socks (Recorded on 2025-02-08)
173,Tech Conference Full Pass,Learn,7321.96,2025-02-08,true,Annual developer engineering summit registration (Recorded on 2025-02-08)
174,Whole Foods Grocery,Food,3321.07,2025-02-08,true,Weekly fresh vegetables; organic fruits and dairy (Recorded on 2025-02-08)
175,Deep Home Sanitization Service,Other,2600.57,2025-02-09,true,Quarterly professional deep house cleaning and scrub (Recorded on 2025-02-09)
176,Coursera AI Specialization,Learn,4210.66,2025-02-09,true,Machine learning and deep neural networks lab (Recorded on 2025-02-09)
177,Cult.fit Fitness Gym Pass,Health,8306.15,2025-02-09,true,Quarterly fitness center gym and yoga pass (Recorded on 2025-02-09)
178,iCloud / Google Cloud Storage,Bills,650.00,2025-02-10,true,2TB unified encrypted cloud backup subscription (Recorded on 2025-02-10)
179,Coursera AI Specialization,Learn,4833.91,2025-02-10,true,Machine learning and deep neural networks lab (Recorded on 2025-02-10)
180,Dry Cleaning & Garment Care,Other,1498.83,2025-02-10,true,Winter wool coats; formal suits and blazers clean (Recorded on 2025-02-10)
181,Local Fruit Stall,Food,289.69,2025-02-10,true,Fresh seasonal Alphonso mangoes and apples (Recorded on 2025-02-10)
182,Uber Premier Commute,Transport,1166.52,2025-02-10,false,Airport ride terminal 2 business flight (Recorded on 2025-02-10)
183,Spotify Premium Family Plan,Fun,1799.00,2025-02-11,false,Annual ad-free multi-user music streaming (Recorded on 2025-02-11)
184,Bakery Artisanal Bread & Pastry,Food,228.76,2025-02-11,true,Morning bakery supplies and sourdough loaf (Recorded on 2025-02-11)
185,Nike Marathon Running Shoes,Shopping,10354.67,2025-02-11,false,Long distance training air zoom cushion sneakers (Recorded on 2025-02-11)
186,Go-Karting Speedway Grand Prix,Fun,2898.93,2025-02-12,false,Weekend competitive racing sessions with group (Recorded on 2025-02-12)
187,Dental Scaling & Oral Checkup,Health,1987.66,2025-02-12,true,Bi-annual preventive dental cleaning and exam (Recorded on 2025-02-12)
188,Shell Petrol Station Fuel,Transport,4718.86,2025-02-12,true,Full tank unleaded petrol for vehicle (Recorded on 2025-02-12)
189,Uber Premier Commute,Transport,1332.44,2025-02-12,false,Airport ride terminal 2 business flight (Recorded on 2025-02-12)
190,Language Mastery Application,Learn,2940.47,2025-02-12,false,Annual conversational language learning subscription (Recorded on 2025-02-12)
191,PVR IMAX 3D Recliner Tickets,Fun,1628.94,2025-02-12,false,Sci-fi movie premiere with large cheese popcorn (Recorded on 2025-02-12)
192,Expressway FASTag Toll,Transport,710.18,2025-02-13,true,State expressway toll automated electronic debit (Recorded on 2025-02-13)
193,Uber Premier Commute,Transport,779.84,2025-02-13,false,Airport ride terminal 2 business flight (Recorded on 2025-02-13)
194,Coursera AI Specialization,Learn,4067.96,2025-02-13,true,Machine learning and deep neural networks lab (Recorded on 2025-02-13)
195,Blinkit Quick Delivery,Food,350.25,2025-02-14,false,Midnight craving snacks; chocolate and ice cream (Recorded on 2025-02-14)
196,Automobile Ceramic Detailing,Transport,3409.81,2025-02-14,false,Full interior vacuum; engine degrease and wash (Recorded on 2025-02-14)
197,Deep Home Sanitization Service,Other,3370.97,2025-02-14,true,Quarterly professional deep house cleaning and scrub (Recorded on 2025-02-14)
198,Society Apartment Maintenance,Bills,5058.86,2025-02-14,true,Monthly housing security; backup generator & lift fee (Recorded on 2025-02-14)
199,Charity Foundation Contribution,Other,2742.30,2025-02-15,false,Monthly child education and midday meal sponsorship (Recorded on 2025-02-15)
200,Mobile 5G Postpaid Plan,Bills,1224.86,2025-02-15,true,Unlimited 5G corporate postpaid phone plan (Recorded on 2025-02-15)
201,Expressway FASTag Toll,Transport,728.98,2025-02-15,true,State expressway toll automated electronic debit (Recorded on 2025-02-15)
202,Spotify Premium Family Plan,Fun,1799.00,2025-02-15,false,Annual ad-free multi-user music streaming (Recorded on 2025-02-15)
203,Friend Wedding / Birthday Gift,Other,5551.66,2025-02-15,false,Custom engraved stainless steel wristwatch with box (Recorded on 2025-02-15)
204,Coursera AI Specialization,Learn,4027.70,2025-02-15,true,Machine learning and deep neural networks lab (Recorded on 2025-02-15)
205,Nike Marathon Running Shoes,Shopping,6695.96,2025-02-16,false,Long distance training air zoom cushion sneakers (Recorded on 2025-02-16)
206,Mobile 5G Postpaid Plan,Bills,938.83,2025-02-16,true,Unlimited 5G corporate postpaid phone plan (Recorded on 2025-02-16)
207,Society Apartment Maintenance,Bills,3223.35,2025-02-16,true,Monthly housing security; backup generator & lift fee (Recorded on 2025-02-16)
208,PVR IMAX 3D Recliner Tickets,Fun,1137.90,2025-02-16,false,Sci-fi movie premiere with large cheese popcorn (Recorded on 2025-02-16)
209,Friend Wedding / Birthday Gift,Other,6290.82,2025-02-17,false,Custom engraved stainless steel wristwatch with box (Recorded on 2025-02-17)
210,Charity Foundation Contribution,Other,2792.70,2025-02-17,false,Monthly child education and midday meal sponsorship (Recorded on 2025-02-17)
211,Whole Foods Grocery,Food,2170.98,2025-02-17,true,Weekly fresh vegetables; organic fruits and dairy (Recorded on 2025-02-17)
212,Udemy Masterclass Bootcamp,Learn,943.96,2025-02-17,true,Full-stack distributed cloud architecture video course (Recorded on 2025-02-17)
213,Diagnostic Comprehensive Blood Panel,Health,3472.99,2025-02-17,true,Full body health checkup; liver and lipid profile (Recorded on 2025-02-17)
214,Tech Conference Full Pass,Learn,6153.96,2025-02-18,true,Annual developer engineering summit registration (Recorded on 2025-02-18)
215,Express International Courier,Other,610.63,2025-02-18,true,Expedited legal document international courier parcel (Recorded on 2025-02-18)
216,PVR IMAX 3D Recliner Tickets,Fun,1809.80,2025-02-18,false,Sci-fi movie premiere with large cheese popcorn (Recorded on 2025-02-18)
217,Apollo Pharmacy Prescription,Health,1452.89,2025-02-18,true,Prescription medication; vitamin D3 & omega-3 (Recorded on 2025-02-18)
